"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Active__c","LLC_BI__Advance_Rate__c","LLC_BI__Collateral_Code__c","LLC_BI__Condo_PUD__c","LLC_BI__Expire_Date__c","LLC_BI__Field_Set__c","LLC_BI__Manufactured_Home__c","LLC_BI__Regulatory_Rate__c","LLC_BI__Start_Date__c","LLC_BI__Subtype__c","LLC_BI__Type__c","LLC_BI__Icon_Background_Color__c","LLC_BI__Icon_Color__c","LLC_BI__Icon_Type__c","LLC_BI__Screen__c","LLC_BI__lookupKey__c","LLC_BI__Collateral_Configuration__c","LLC_BI__Highest_Type__c","LLC_BI__Is_Complex__c","LLC_BI__Parent_Type__c","LLC_BI__Valuation_Source__c","LLC_BI__Valuation_Type__c","LLC_BI__Category__c","LLC_BI__Leasing_Screen__c","LLC_BI__Group_Type__c"
"a1x5e00000059NfAAI","0055e000003ZErQAAW","","Real Estate-Construction","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","","false","","2023-05-04","Construction","Real Estate","670B7B","fff","custom/custom24","a2G5e0000005Uu9EAE","a1x5e00000059NfAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NgAAI","0055e000003ZErQAAW","","Titled-Motor Vehicle","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2022-02-14T05:03:48.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","false","","2023-05-04","Motor Vehicle","Titled","Ba202E","fff","custom/custom31","a2G5e0000005UuBEAU","a1x5e00000059NgAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NhAAI","0055e000003ZErQAAW","","Real Estate-1-4 Family","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","","false","","2023-05-04","1-4 Family","Real Estate","670B7B","fff","custom/custom24","a2G5e0000005Uu9EAE","a1x5e00000059NhAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NiAAI","0055e000003ZErQAAW","","Titled-Mobile Home","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","false","","2023-05-04","Mobile Home","Titled","Ba202E","fff","custom/custom31","a2G5e0000005UuBEAU","a1x5e00000059NiAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NjAAI","0055e000003ZErQAAW","","Titled-Pleasure Boat","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","false","","2023-05-04","Pleasure Boat","Titled","Ba202E","fff","custom/custom31","a2G5e0000005UuBEAU","a1x5e00000059NjAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NkAAI","0055e000003ZErQAAW","","Titled-Ship","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","false","","2023-05-04","Ship","Titled","Ba202E","fff","custom/custom31","a2G5e0000005UuBEAU","a1x5e00000059NkAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NlAAI","0055e000003ZErQAAW","","Titled-Aircraft","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","false","","2023-05-04","Aircraft","Titled","Ba202E","fff","custom/custom31","a2G5e0000005UuBEAU","a1x5e00000059NlAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NmAAI","0055e000003ZErQAAW","","Titled-Trailer","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","false","","2023-05-04","Trailer","Titled","Ba202E","fff","custom/custom31","a2G5e0000005UuBEAU","a1x5e00000059NmAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NnAAI","0055e000003ZErQAAW","","Titled-Other Titled","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2022-02-14T05:03:48.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","false","","2023-05-04","Other Titled","Titled","Ba202E","fff","custom/custom31","a2G5e0000005UuBEAU","a1x5e00000059NnAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NoAAI","0055e000003ZErQAAW","","Possessory-Savings/CDs","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","","false","","2023-05-04","Savings/CDs","Possessory","85BE40","fff","custom/custom17","a2G5e0000005UuCEAU","a1x5e00000059NoAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NpAAI","0055e000003ZErQAAW","","Possessory-Securities","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","","false","","2023-05-04","Securities","Possessory","85BE40","fff","custom/custom17","a2G5e0000005UuCEAU","a1x5e00000059NpAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NqAAI","0055e000003ZErQAAW","","Possessory-Note/Instrument","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","","false","","2023-05-04","Note/Instrument","Possessory","85BE40","fff","custom/custom17","a2G5e0000005UuCEAU","a1x5e00000059NqAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NrAAI","0055e000003ZErQAAW","","Possessory-Receipts/Bills","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","","false","","2023-05-04","Receipts/Bills","Possessory","85BE40","fff","custom/custom17","a2G5e0000005UuCEAU","a1x5e00000059NrAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NsAAI","0055e000003ZErQAAW","","Possessory-Letter of Credit","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","","false","","2023-05-04","Letter of Credit","Possessory","85BE40","fff","custom/custom17","a2G5e0000005UuCEAU","a1x5e00000059NsAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NtAAI","0055e000003ZErQAAW","","Possessory-Other Possessory","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","","false","","2023-05-04","Other Possessory","Possessory","85BE40","fff","custom/custom17","a2G5e0000005UuCEAU","a1x5e00000059NtAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NuAAI","0055e000003ZErQAAW","","Possessory-Life Insurance","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","","false","","2023-05-04","Life Insurance","Possessory","85BE40","fff","custom/custom17","a2G5e0000005UuCEAU","a1x5e00000059NuAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NvAAI","0055e000003ZErQAAW","","UCC-Inventory","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","","false","","2023-05-04","Inventory","UCC","F1B643","fff","custom/custom18","a2G5e0000005UuCEAU","a1x5e00000059NvAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NwAAI","0055e000003ZErQAAW","","UCC-Chattel Paper","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","","false","","2023-05-04","Chattel Paper","UCC","F1B643","fff","custom/custom18","a2G5e0000005UuCEAU","a1x5e00000059NwAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
"a1x5e00000059NxAAI","0055e000003ZErQAAW","","UCC-Accounts","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:26.000Z","0055e000003ZErQAAW","","","","","","","","80.0","","false","","","false","","2023-05-04","Accounts","UCC","F1B643","fff","custom/custom18","a2G5e0000005UuCEAU","a1x5e00000059NxAAI","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","a2G5e0000005UuAEAU",""
